company_key,symbol,company_archetype,canonical_metric,metric_applicability,comparison_scope,period_type,period_start,period_end,dimensions,semantic_key,semantic_key_inputs,av_semantic_key,sec_semantic_key,av_observation_id,sec_observation_id,av_observation_id_inputs,sec_observation_id_inputs,av_endpoint,av_field,av_value,av_unit,av_raw_file,sec_taxonomy,sec_candidate_concepts,sec_selected_concept,sec_value,sec_unit,sec_form,sec_accession,sec_filed_at,sec_raw_file,normalization_rule,absolute_difference,relative_difference,comparison_status,rationale,source_status_original,manual_notes
NYSE:IBM,IBM,technology_services,financial.revenue,APPLICABLE,LATEST_COMMON_ANNUAL,duration,2025-01-01,2025-12-31,"{""entity_scope"":""consolidated"",""period_kind"":""annual"",""reporting_basis"":""reported""}",sem_111734d3f13cefbb8b026994,"{""canonical_metric"":""financial.revenue"",""company_key"":""NYSE:IBM"",""comparison_scope"":""LATEST_COMMON_ANNUAL"",""dimensions"":{""entity_scope"":""consolidated"",""period_kind"":""annual"",""reporting_basis"":""reported""},""period_end"":""2025-12-31"",""period_start"":""2025-01-01"",""period_type"":""duration""}",sem_111734d3f13cefbb8b026994,sem_111734d3f13cefbb8b026994,obs_5507fa334be57416e1fc8e96,obs_b4f4290affb0f85329dad73e,"{""endpoint"":""INCOME_STATEMENT"",""field"":""totalRevenue"",""period_end"":""2025-12-31"",""raw_file"":""/Users/lyuhongwang/Desktop/AlphaVantage/artifacts/alpha_vantage/raw/demo/002_income_statement_ibm.txt"",""semantic_key"":""sem_111734d3f13cefbb8b026994"",""source_system"":""ALPHA_VANTAGE""}","{""accession"":""0000051143-26-000010"",""concept"":""Revenues"",""filed_at"":""2026-02-24"",""form"":""10-K"",""period_end"":""2025-12-31"",""raw_file"":""/Users/lyuhongwang/Desktop/AlphaVantage/spikes/step_0b/work/raw/sec/ibm_companyfacts.json"",""semantic_key"":""sem_111734d3f13cefbb8b026994"",""source_system"":""SEC_COMPANYFACTS""}",INCOME_STATEMENT,totalRevenue,67535000000,USD,/Users/lyuhongwang/Desktop/AlphaVantage/artifacts/alpha_vantage/raw/demo/002_income_statement_ibm.txt,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax:missing; Revenues:present; SalesRevenueNet:missing,Revenues,67535000000,USD,10-K,0000051143-26-000010,2026-02-24,/Users/lyuhongwang/Desktop/AlphaVantage/spikes/step_0b/work/raw/sec/ibm_companyfacts.json,,0,0,MATCH,selected Revenues by form/end/duration/unit; latest filed observation wins,MATCH,RevenueFromContractWithCustomerExcludingAssessedTax: concept absent
NYSE:IBM,IBM,technology_services,financial.revenue,APPLICABLE,LATEST_COMMON_QUARTER,duration,2026-01-01,2026-03-31,"{""entity_scope"":""consolidated"",""period_kind"":""quarter"",""reporting_basis"":""reported""}",sem_ea964c1c384e852c70580933,"{""canonical_metric"":""financial.revenue"",""company_key"":""NYSE:IBM"",""comparison_scope"":""LATEST_COMMON_QUARTER"",""dimensions"":{""entity_scope"":""consolidated"",""period_kind"":""quarter"",""reporting_basis"":""reported""},""period_end"":""2026-03-31"",""period_start"":""2026-01-01"",""period_type"":""duration""}",sem_ea964c1c384e852c70580933,sem_ea964c1c384e852c70580933,obs_eccd6c5dec4759759b94ad59,obs_3e0e9a93425bcca28afca64e,"{""endpoint"":""INCOME_STATEMENT"",""field"":""totalRevenue"",""period_end"":""2026-03-31"",""raw_file"":""/Users/lyuhongwang/Desktop/AlphaVantage/artifacts/alpha_vantage/raw/demo/002_income_statement_ibm.txt"",""semantic_key"":""sem_ea964c1c384e852c70580933"",""source_system"":""ALPHA_VANTAGE""}","{""accession"":""0000051143-26-000038"",""concept"":""Revenues"",""filed_at"":""2026-04-23"",""form"":""10-Q"",""period_end"":""2026-03-31"",""raw_file"":""/Users/lyuhongwang/Desktop/AlphaVantage/spikes/step_0b/work/raw/sec/ibm_companyfacts.json"",""semantic_key"":""sem_ea964c1c384e852c70580933"",""source_system"":""SEC_COMPANYFACTS""}",INCOME_STATEMENT,totalRevenue,15917000000,USD,/Users/lyuhongwang/Desktop/AlphaVantage/artifacts/alpha_vantage/raw/demo/002_income_statement_ibm.txt,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax:missing; Revenues:present; SalesRevenueNet:missing,Revenues,15917000000,USD,10-Q,0000051143-26-000038,2026-04-23,/Users/lyuhongwang/Desktop/AlphaVantage/spikes/step_0b/work/raw/sec/ibm_companyfacts.json,,0,0,MATCH,selected Revenues by form/end/duration/unit; latest filed observation wins,MATCH,RevenueFromContractWithCustomerExcludingAssessedTax: concept absent
NYSE:IBM,IBM,technology_services,financial.gross_profit,APPLICABLE,LATEST_COMMON_ANNUAL,duration,2025-01-01,2025-12-31,"{""entity_scope"":""consolidated"",""period_kind"":""annual"",""reporting_basis"":""reported""}",sem_113ad54758bc6107cce1d64b,"{""canonical_metric"":""financial.gross_profit"",""company_key"":""NYSE:IBM"",""comparison_scope"":""LATEST_COMMON_ANNUAL"",""dimensions"":{""entity_scope"":""consolidated"",""period_kind"":""annual"",""reporting_basis"":""reported""},""period_end"":""2025-12-31"",""period_start"":""2025-01-01"",""period_type"":""duration""}",sem_113ad54758bc6107cce1d64b,sem_113ad54758bc6107cce1d64b,obs_532be2d46d479f6da3df70f4,obs_042f598a5e357dc5f8dda9be,"{""endpoint"":""INCOME_STATEMENT"",""field"":""grossProfit"",""period_end"":""2025-12-31"",""raw_file"":""/Users/lyuhongwang/Desktop/AlphaVantage/artifacts/alpha_vantage/raw/demo/002_income_statement_ibm.txt"",""semantic_key"":""sem_113ad54758bc6107cce1d64b"",""source_system"":""ALPHA_VANTAGE""}","{""accession"":""0000051143-26-000010"",""concept"":""GrossProfit"",""filed_at"":""2026-02-24"",""form"":""10-K"",""period_end"":""2025-12-31"",""raw_file"":""/Users/lyuhongwang/Desktop/AlphaVantage/spikes/step_0b/work/raw/sec/ibm_companyfacts.json"",""semantic_key"":""sem_113ad54758bc6107cce1d64b"",""source_system"":""SEC_COMPANYFACTS""}",INCOME_STATEMENT,grossProfit,40185000000,USD,/Users/lyuhongwang/Desktop/AlphaVantage/artifacts/alpha_vantage/raw/demo/002_income_statement_ibm.txt,us-gaap,GrossProfit:present,GrossProfit,39297000000,USD,10-K,0000051143-26-000010,2026-02-24,/Users/lyuhongwang/Desktop/AlphaVantage/spikes/step_0b/work/raw/sec/ibm_companyfacts.json,,888000000,0.02209779768570362075401269130,MISMATCH,selected GrossProfit by form/end/duration/unit; latest filed observation wins,DIFFERENT,
NYSE:IBM,IBM,technology_services,financial.gross_profit,APPLICABLE,LATEST_COMMON_QUARTER,duration,2026-01-01,2026-03-31,"{""entity_scope"":""consolidated"",""period_kind"":""quarter"",""reporting_basis"":""reported""}",sem_65ed6b23fc9e4f778a326f37,"{""canonical_metric"":""financial.gross_profit"",""company_key"":""NYSE:IBM"",""comparison_scope"":""LATEST_COMMON_QUARTER"",""dimensions"":{""entity_scope"":""consolidated"",""period_kind"":""quarter"",""reporting_basis"":""reported""},""period_end"":""2026-03-31"",""period_start"":""2026-01-01"",""period_type"":""duration""}",sem_65ed6b23fc9e4f778a326f37,sem_65ed6b23fc9e4f778a326f37,obs_58d2764d93313f0f358f3799,obs_7f2cc44a5072a9d46e03704a,"{""endpoint"":""INCOME_STATEMENT"",""field"":""grossProfit"",""period_end"":""2026-03-31"",""raw_file"":""/Users/lyuhongwang/Desktop/AlphaVantage/artifacts/alpha_vantage/raw/demo/002_income_statement_ibm.txt"",""semantic_key"":""sem_65ed6b23fc9e4f778a326f37"",""source_system"":""ALPHA_VANTAGE""}","{""accession"":""0000051143-26-000038"",""concept"":""GrossProfit"",""filed_at"":""2026-04-23"",""form"":""10-Q"",""period_end"":""2026-03-31"",""raw_file"":""/Users/lyuhongwang/Desktop/AlphaVantage/spikes/step_0b/work/raw/sec/ibm_companyfacts.json"",""semantic_key"":""sem_65ed6b23fc9e4f778a326f37"",""source_system"":""SEC_COMPANYFACTS""}",INCOME_STATEMENT,grossProfit,8950000000,USD,/Users/lyuhongwang/Desktop/AlphaVantage/artifacts/alpha_vantage/raw/demo/002_income_statement_ibm.txt,us-gaap,GrossProfit:present,GrossProfit,8950000000,USD,10-Q,0000051143-26-000038,2026-04-23,/Users/lyuhongwang/Desktop/AlphaVantage/spikes/step_0b/work/raw/sec/ibm_companyfacts.json,,0,0,MATCH,selected GrossProfit by form/end/duration/unit; latest filed observation wins,MATCH,
NYSE:IBM,IBM,technology_services,financial.operating_income,APPLICABLE,LATEST_COMMON_ANNUAL,duration,2025-01-01,2025-12-31,"{""entity_scope"":""consolidated"",""period_kind"":""annual"",""reporting_basis"":""reported""}",sem_286d2f48fde5c395831f8184,"{""canonical_metric"":""financial.operating_income"",""company_key"":""NYSE:IBM"",""comparison_scope"":""LATEST_COMMON_ANNUAL"",""dimensions"":{""entity_scope"":""consolidated"",""period_kind"":""annual"",""reporting_basis"":""reported""},""period_end"":""2025-12-31"",""period_start"":""2025-01-01"",""period_type"":""duration""}",sem_286d2f48fde5c395831f8184,sem_286d2f48fde5c395831f8184,obs_d04c249f757b631d6297ee0f,obs_34068c3e138a757548e303f8,"{""endpoint"":""INCOME_STATEMENT"",""field"":""operatingIncome"",""period_end"":""2025-12-31"",""raw_file"":""/Users/lyuhongwang/Desktop/AlphaVantage/artifacts/alpha_vantage/raw/demo/002_income_statement_ibm.txt"",""semantic_key"":""sem_286d2f48fde5c395831f8184"",""source_system"":""ALPHA_VANTAGE""}","{""accession"":"""",""concept"":"""",""filed_at"":"""",""form"":"""",""period_end"":""2025-12-31"",""raw_file"":""/Users/lyuhongwang/Desktop/AlphaVantage/spikes/step_0b/work/raw/sec/ibm_companyfacts.json"",""semantic_key"":""sem_286d2f48fde5c395831f8184"",""source_system"":""SEC_COMPANYFACTS""}",INCOME_STATEMENT,operatingIncome,10325000000,USD,/Users/lyuhongwang/Desktop/AlphaVantage/artifacts/alpha_vantage/raw/demo/002_income_statement_ibm.txt,us-gaap,OperatingIncomeLoss:missing,,,,,,,/Users/lyuhongwang/Desktop/AlphaVantage/spikes/step_0b/work/raw/sec/ibm_companyfacts.json,,,,MISSING_SEC,no candidate concept produced an eligible fact,MISSING_SEC,OperatingIncomeLoss: concept absent
NYSE:IBM,IBM,technology_services,financial.operating_income,APPLICABLE,LATEST_COMMON_QUARTER,duration,,2026-03-31,"{""entity_scope"":""consolidated"",""period_kind"":""quarter"",""reporting_basis"":""reported""}",sem_924074bd4350836ac3de82db,"{""canonical_metric"":""financial.operating_income"",""company_key"":""NYSE:IBM"",""comparison_scope"":""LATEST_COMMON_QUARTER"",""dimensions"":{""entity_scope"":""consolidated"",""period_kind"":""quarter"",""reporting_basis"":""reported""},""period_end"":""2026-03-31"",""period_start"":"""",""period_type"":""duration""}",sem_924074bd4350836ac3de82db,sem_924074bd4350836ac3de82db,obs_205c8205cd8b1a542da19acf,obs_81cdd6072f890e8dd386440d,"{""endpoint"":""INCOME_STATEMENT"",""field"":""operatingIncome"",""period_end"":""2026-03-31"",""raw_file"":""/Users/lyuhongwang/Desktop/AlphaVantage/artifacts/alpha_vantage/raw/demo/002_income_statement_ibm.txt"",""semantic_key"":""sem_924074bd4350836ac3de82db"",""source_system"":""ALPHA_VANTAGE""}","{""accession"":"""",""concept"":"""",""filed_at"":"""",""form"":"""",""period_end"":""2026-03-31"",""raw_file"":""/Users/lyuhongwang/Desktop/AlphaVantage/spikes/step_0b/work/raw/sec/ibm_companyfacts.json"",""semantic_key"":""sem_924074bd4350836ac3de82db"",""source_system"":""SEC_COMPANYFACTS""}",INCOME_STATEMENT,operatingIncome,1360000000,USD,/Users/lyuhongwang/Desktop/AlphaVantage/artifacts/alpha_vantage/raw/demo/002_income_statement_ibm.txt,us-gaap,OperatingIncomeLoss:missing,,,,,,,/Users/lyuhongwang/Desktop/AlphaVantage/spikes/step_0b/work/raw/sec/ibm_companyfacts.json,,,,MISSING_SEC,no candidate concept produced an eligible fact,MISSING_SEC,OperatingIncomeLoss: concept absent
NYSE:IBM,IBM,technology_services,financial.net_income,APPLICABLE,LATEST_COMMON_ANNUAL,duration,2025-01-01,2025-12-31,"{""entity_scope"":""consolidated"",""period_kind"":""annual"",""reporting_basis"":""reported""}",sem_976d1f224de8002fd8e142da,"{""canonical_metric"":""financial.net_income"",""company_key"":""NYSE:IBM"",""comparison_scope"":""LATEST_COMMON_ANNUAL"",""dimensions"":{""entity_scope"":""consolidated"",""period_kind"":""annual"",""reporting_basis"":""reported""},""period_end"":""2025-12-31"",""period_start"":""2025-01-01"",""period_type"":""duration""}",sem_976d1f224de8002fd8e142da,sem_976d1f224de8002fd8e142da,obs_6b877252d97691448d9b9b19,obs_67538ecd3df017384228af54,"{""endpoint"":""INCOME_STATEMENT"",""field"":""netIncome"",""period_end"":""2025-12-31"",""raw_file"":""/Users/lyuhongwang/Desktop/AlphaVantage/artifacts/alpha_vantage/raw/demo/002_income_statement_ibm.txt"",""semantic_key"":""sem_976d1f224de8002fd8e142da"",""source_system"":""ALPHA_VANTAGE""}","{""accession"":""0000051143-26-000010"",""concept"":""NetIncomeLoss"",""filed_at"":""2026-02-24"",""form"":""10-K"",""period_end"":""2025-12-31"",""raw_file"":""/Users/lyuhongwang/Desktop/AlphaVantage/spikes/step_0b/work/raw/sec/ibm_companyfacts.json"",""semantic_key"":""sem_976d1f224de8002fd8e142da"",""source_system"":""SEC_COMPANYFACTS""}",INCOME_STATEMENT,netIncome,10593000000,USD,/Users/lyuhongwang/Desktop/AlphaVantage/artifacts/alpha_vantage/raw/demo/002_income_statement_ibm.txt,us-gaap,NetIncomeLoss:present; ProfitLoss:present,NetIncomeLoss,10593000000,USD,10-K,0000051143-26-000010,2026-02-24,/Users/lyuhongwang/Desktop/AlphaVantage/spikes/step_0b/work/raw/sec/ibm_companyfacts.json,,0,0,MATCH,selected NetIncomeLoss by form/end/duration/unit; latest filed observation wins,MATCH,
NYSE:IBM,IBM,technology_services,financial.net_income,APPLICABLE,LATEST_COMMON_QUARTER,duration,2026-01-01,2026-03-31,"{""entity_scope"":""consolidated"",""period_kind"":""quarter"",""reporting_basis"":""reported""}",sem_68b644c9cb31c8966720f16e,"{""canonical_metric"":""financial.net_income"",""company_key"":""NYSE:IBM"",""comparison_scope"":""LATEST_COMMON_QUARTER"",""dimensions"":{""entity_scope"":""consolidated"",""period_kind"":""quarter"",""reporting_basis"":""reported""},""period_end"":""2026-03-31"",""period_start"":""2026-01-01"",""period_type"":""duration""}",sem_68b644c9cb31c8966720f16e,sem_68b644c9cb31c8966720f16e,obs_ba162e3009f9e552d46e0809,obs_e344ce51e1313cba74f28138,"{""endpoint"":""INCOME_STATEMENT"",""field"":""netIncome"",""period_end"":""2026-03-31"",""raw_file"":""/Users/lyuhongwang/Desktop/AlphaVantage/artifacts/alpha_vantage/raw/demo/002_income_statement_ibm.txt"",""semantic_key"":""sem_68b644c9cb31c8966720f16e"",""source_system"":""ALPHA_VANTAGE""}","{""accession"":""0000051143-26-000038"",""concept"":""NetIncomeLoss"",""filed_at"":""2026-04-23"",""form"":""10-Q"",""period_end"":""2026-03-31"",""raw_file"":""/Users/lyuhongwang/Desktop/AlphaVantage/spikes/step_0b/work/raw/sec/ibm_companyfacts.json"",""semantic_key"":""sem_68b644c9cb31c8966720f16e"",""source_system"":""SEC_COMPANYFACTS""}",INCOME_STATEMENT,netIncome,1216000000,USD,/Users/lyuhongwang/Desktop/AlphaVantage/artifacts/alpha_vantage/raw/demo/002_income_statement_ibm.txt,us-gaap,NetIncomeLoss:present; ProfitLoss:present,NetIncomeLoss,1216000000,USD,10-Q,0000051143-26-000038,2026-04-23,/Users/lyuhongwang/Desktop/AlphaVantage/spikes/step_0b/work/raw/sec/ibm_companyfacts.json,,0,0,MATCH,selected NetIncomeLoss by form/end/duration/unit; latest filed observation wins,MATCH,
NYSE:IBM,IBM,technology_services,balance.total_assets,APPLICABLE,LATEST_COMMON_ANNUAL,instant,2025-01-01,2025-12-31,"{""entity_scope"":""consolidated"",""period_kind"":""annual"",""reporting_basis"":""reported""}",sem_cb2d0a4b715238b86e1ab342,"{""canonical_metric"":""balance.total_assets"",""company_key"":""NYSE:IBM"",""comparison_scope"":""LATEST_COMMON_ANNUAL"",""dimensions"":{""entity_scope"":""consolidated"",""period_kind"":""annual"",""reporting_basis"":""reported""},""period_end"":""2025-12-31"",""period_start"":""2025-01-01"",""period_type"":""instant""}",sem_cb2d0a4b715238b86e1ab342,sem_cb2d0a4b715238b86e1ab342,obs_0a9243d66186be28dd335d7f,obs_b415107650e52cad43cc0759,"{""endpoint"":""BALANCE_SHEET"",""field"":""totalAssets"",""period_end"":""2025-12-31"",""raw_file"":""/Users/lyuhongwang/Desktop/AlphaVantage/artifacts/alpha_vantage/raw/demo/003_balance_sheet_ibm.txt"",""semantic_key"":""sem_cb2d0a4b715238b86e1ab342"",""source_system"":""ALPHA_VANTAGE""}","{""accession"":""0000051143-26-000010"",""concept"":""Assets"",""filed_at"":""2026-02-24"",""form"":""10-K"",""period_end"":""2025-12-31"",""raw_file"":""/Users/lyuhongwang/Desktop/AlphaVantage/spikes/step_0b/work/raw/sec/ibm_companyfacts.json"",""semantic_key"":""sem_cb2d0a4b715238b86e1ab342"",""source_system"":""SEC_COMPANYFACTS""}",BALANCE_SHEET,totalAssets,151880000000,USD,/Users/lyuhongwang/Desktop/AlphaVantage/artifacts/alpha_vantage/raw/demo/003_balance_sheet_ibm.txt,us-gaap,Assets:present,Assets,151880000000,USD,10-K,0000051143-26-000010,2026-02-24,/Users/lyuhongwang/Desktop/AlphaVantage/spikes/step_0b/work/raw/sec/ibm_companyfacts.json,,0,0,MATCH,selected Assets by form/end/duration/unit; latest filed observation wins,MATCH,
NYSE:IBM,IBM,technology_services,balance.total_assets,APPLICABLE,LATEST_COMMON_QUARTER,instant,2026-03-31,2026-03-31,"{""entity_scope"":""consolidated"",""period_kind"":""quarter"",""reporting_basis"":""reported""}",sem_c1d27ee10dfe9718ed25cbd0,"{""canonical_metric"":""balance.total_assets"",""company_key"":""NYSE:IBM"",""comparison_scope"":""LATEST_COMMON_QUARTER"",""dimensions"":{""entity_scope"":""consolidated"",""period_kind"":""quarter"",""reporting_basis"":""reported""},""period_end"":""2026-03-31"",""period_start"":""2026-03-31"",""period_type"":""instant""}",sem_c1d27ee10dfe9718ed25cbd0,sem_c1d27ee10dfe9718ed25cbd0,obs_9988ac14f32ebac5f233009d,obs_3c68317d4b00f5b882440d63,"{""endpoint"":""BALANCE_SHEET"",""field"":""totalAssets"",""period_end"":""2026-03-31"",""raw_file"":""/Users/lyuhongwang/Desktop/AlphaVantage/artifacts/alpha_vantage/raw/demo/003_balance_sheet_ibm.txt"",""semantic_key"":""sem_c1d27ee10dfe9718ed25cbd0"",""source_system"":""ALPHA_VANTAGE""}","{""accession"":""0000051143-26-000038"",""concept"":""Assets"",""filed_at"":""2026-04-23"",""form"":""10-Q"",""period_end"":""2026-03-31"",""raw_file"":""/Users/lyuhongwang/Desktop/AlphaVantage/spikes/step_0b/work/raw/sec/ibm_companyfacts.json"",""semantic_key"":""sem_c1d27ee10dfe9718ed25cbd0"",""source_system"":""SEC_COMPANYFACTS""}",BALANCE_SHEET,totalAssets,156229000000,USD,/Users/lyuhongwang/Desktop/AlphaVantage/artifacts/alpha_vantage/raw/demo/003_balance_sheet_ibm.txt,us-gaap,Assets:present,Assets,156229000000,USD,10-Q,0000051143-26-000038,2026-04-23,/Users/lyuhongwang/Desktop/AlphaVantage/spikes/step_0b/work/raw/sec/ibm_companyfacts.json,,0,0,MATCH,selected Assets by form/end/duration/unit; latest filed observation wins,MATCH,
